id,mutcd,name,class,speed,lat,lon,first_seen
3.38913E+15,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.53709502,-77.51681468,8/20/2024
4.74631E+14,R2-1,Speed 40,regulatory--maximum-speed-limit-40--g3,40,37.53622401,-77.5137404,12/18/2017
8.59459E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.54304937,-77.51807689,8/1/2024
1.2948E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.54486373,-77.51891087,8/1/2024
1.86734E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.56083731,-77.51114027,12/8/2018
1.02965E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.57295465,-77.51898562,9/29/2025
3.97441E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.57294431,-77.51934095,7/21/2024
3.97441E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.57245371,-77.51716894,7/21/2024
1.74516E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.57296104,-77.51643833,9/29/2025
5.78552E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.57303714,-77.51524131,7/21/2024
1.35589E+15,R2-1,Speed 30,regulatory--maximum-speed-limit-30--g3,30,37.57180015,-77.51313254,9/29/2025
1.3148E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.57153603,-77.51192632,9/29/2025
2.96933E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.57180465,-77.51291734,7/21/2024
2.96933E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.57188476,-77.51286376,7/21/2024
4.88421E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.57767662,-77.51164954,8/16/2018
8.837E+14,R2-1,Speed 30,regulatory--maximum-speed-limit-30--g3,30,37.5787851,-77.51478466,7/13/2024
1.95745E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.57760452,-77.51180395,7/13/2024
1.95745E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.57752434,-77.51185975,7/13/2024
7.11179E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58702645,-77.51807826,9/26/2023
1.37725E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58777073,-77.51814728,9/26/2023
7.02869E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58736373,-77.51106738,9/26/2023
1.74281E+15,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.58173778,-77.51176192,9/22/2023
1.74281E+15,R2-1,Speed 30,regulatory--maximum-speed-limit-30--g3,30,37.58185229,-77.51203628,9/22/2023
1.74281E+15,R2-1,Speed 30,regulatory--maximum-speed-limit-30--g3,30,37.58180471,-77.5118951,9/22/2023
1.5691E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58538627,-77.51883464,9/26/2023
1.23427E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58655479,-77.51172558,9/26/2023
8.55237E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58179127,-77.51690047,9/22/2023
7.49559E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58535384,-77.51602667,9/26/2023
3.1753E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58331127,-77.51522861,9/22/2023
3.95514E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58558664,-77.51197744,9/22/2023
3.95514E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58532,-77.51183542,9/22/2023
8.18567E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58466404,-77.51308977,9/22/2023
5.94681E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58326479,-77.51598315,9/22/2023
3.10331E+14,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.58611318,-77.51442112,9/22/2023
3.68968E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58226448,-77.5190298,7/13/2024
1.29986E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58290828,-77.51957076,9/24/2025
1.29986E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58112803,-77.51697013,9/24/2025
1.29986E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58297018,-77.51947256,9/24/2025
6.35239E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58290162,-77.51658887,9/22/2023
6.35239E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58394037,-77.51902265,9/22/2023
6.35239E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58381747,-77.51963206,9/22/2023
1.52661E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58061992,-77.51636914,7/13/2024
6.32024E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58618444,-77.51290514,9/22/2023
1.06568E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59357415,-77.51811466,9/26/2023
2.46959E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.58900664,-77.51770018,9/26/2023
2.73817E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59468864,-77.51384142,9/26/2023
9.7922E+14,R2-1,Speed 45,regulatory--maximum-speed-limit-45--g3,45,37.58870838,-77.5182036,9/22/2023
3.38681E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59414203,-77.51912701,9/26/2023
3.38681E+14,R2-1,Speed 35,regulatory--maximum-speed-limit-35--g2,35,37.59537836,-77.51288747,9/26/2023
6.14949E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59164982,-77.5148263,9/26/2023
7.06785E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59353963,-77.5119787,9/26/2023
1.03834E+15,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.59341498,-77.51650214,9/26/2023
6.35843E+14,R2-1,Speed 25,regulatory--maximum-speed-limit-25--g2,25,37.5904775,-77.51501484,9/22/2023
